ANIO;MES;IGAE;IGAE_menos_1;IGAE_menos_2;IGAE_menos_3;IGAE_menos_4;IGAE_menos_5;IGAE_menos_6;IGAE_menos_7;IGAE_menos_8;IGAE_menos_9;IGAE_menos_10;IGAE_menos_11;IGAE_menos_12;IGAE_mas_1;IGAE_mas_2;IGAE_mas_3;IGAE_mas_4;IGAE_mas_5;IGAE_mas_6;IGAE_mas_7;IGAE_mas_8;IGAE_mas_9;IGAE_mas_10;IGAE_mas_11;IGAE_mas_12;IGAE_mas_12
1993;1;75.98819777;0;0;0;0;0;0;0;0;0;0;0;0;76.28848217;76.47699888;76.611321;76.71805144;76.78762407;76.85107607;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;
1993;2;76.28848217;75.98819777;0;0;0;0;0;0;0;0;0;0;0;76.47699888;76.611321;76.71805144;76.78762407;76.85107607;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;
1993;3;76.47699888;76.28848217;75.98819777;0;0;0;0;0;0;0;0;0;0;76.611321;76.71805144;76.78762407;76.85107607;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;
1993;4;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;0;0;0;0;0;0;76.71805144;76.78762407;76.85107607;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;
1993;5;76.71805144;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;0;0;0;0;0;76.78762407;76.85107607;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;80.90263009;
1993;6;76.78762407;76.71805144;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;0;0;0;0;76.85107607;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;80.90263009;81.05110617;
1993;7;76.85107607;76.78762407;76.71805144;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;0;0;0;76.81331051;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;80.90263009;81.05110617;80.97529948;
1993;8;76.81331051;76.85107607;76.78762407;76.71805144;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;0;0;76.72043704;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;80.90263009;81.05110617;80.97529948;81.05126948;
1993;9;76.72043704;76.81331051;76.85107607;76.78762407;76.71805144;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;0;76.79798033;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;80.90263009;81.05110617;80.97529948;81.05126948;81.3272924;
1993;10;76.79798033;76.72043704;76.81331051;76.85107607;76.78762407;76.71805144;76.611321;76.47699888;76.28848217;75.98819777;0;0;0;77.09651174;77.59506316;78.19451353;78.87633858;79.63687131;80.37568609;80.90263009;81.05110617;80.97529948;81.05126948;81.3272924;81.52854235;
