"CP","XCOORD","YCOORD"
"01000",-99.1931527846067,19.3462167465052
"01010",-99.1940066517804,19.3604511853201
"01020",-99.1871322936149,19.3571852402841
"01029",-99.2083329170893,19.3365707641039
"01030",-99.1788097637155,19.3574978607075
"01040",-99.1922313656568,19.3556343027626
"01049",-99.1967978480055,19.3538016584636
"01050",-99.1824341394388,19.3496732964724
"01060",-99.1984813047613,19.348740376721
"01070",-99.1865476237951,19.3446765085821
"01080",-99.2126386665463,19.3366660114312
"01089",-99.2030584475986,19.3374893898151
"01090",-99.1970483458676,19.3369738730282
"01100",-99.2031485815268,19.3929873344034
"01109",-99.2076840804109,19.3916590836022
"01110",-99.2128576858295,19.3960922941897
"01120",-99.2033026606336,19.3991979117289
"01130",-99.2064558241363,19.3935074102979
"01139",-99.2044689338721,19.3957586746816
"01140",-99.1956246796848,19.3965347907911
"01150",-99.1984858785307,19.3913037210279
"01160",-99.2050880787883,19.3871008081431
"01170",-99.2059685478434,19.3874253176013
"01180",-99.1935739496449,19.3881800085405
"01183",-99.1922412228052,19.3926017960341
"01200",-99.2171866898068,19.3867147269225
"01209",-99.2230254116807,19.3854143411335
"01210",-99.2313401429948,19.3896066643072
"01219",-99.2566131126141,19.3720136610783
"01220",-99.2187555285187,19.3868468228352
"01230",-99.2418417847248,19.3788732446165
"01239",-99.240886913787,19.3794079866254
"01240",-99.2382586450843,19.3810711281289
"01250",-99.2364584344263,19.3806294838814
"01259",-99.2326415204469,19.3802284333352
"01260",-99.2278835260885,19.3821234079022
"01269",-99.2255221140546,19.3825667787976
"01270",-99.2143470218685,19.3810144830727
"01276",-99.2179111742903,19.3803630040603
"01278",-99.2211766138736,19.3816492756466
"01279",-99.2169864717289,19.3845844356996
"01280",-99.205965283464,19.3834055056505
"01285",-99.2085475111186,19.3805286829794
"01290",-99.2240754738301,19.3776515727752
"01296",-99.2359153660445,19.3757668924342
"01299",-99.2278699003538,19.3741327505298
"01310",-99.2499957770231,19.3822942516943
"01320",-99.2500781836964,19.3796288333013
"01330",-99.2672548898071,19.3703508154936
"01340",-99.2454929946642,19.3811111020027
"01376",-99.2490607193711,19.3701405381542
"01377",-99.2445226375223,19.3684937893202
"01388",-99.2533042370862,19.3618911569373
"01389",-99.2572819654441,19.3598390181876
"01400",-99.2132475053127,19.3730316984765
"01408",-99.2167336521516,19.3744518802258
"01410",-99.2101745654365,19.3774383803295
"01419",-99.2013452718014,19.3793289121435
"01420",-99.194662824121,19.3813542803706
"01430",-99.2297441466455,19.3610235913308
"01440",-99.2258049358088,19.3666480019165
"01450",-99.2070351563211,19.3706979947574
"01460",-99.1964238845016,19.3763956653269
"01470",-99.2088362747126,19.3723332522063
"01480",-99.1996414147242,19.3679661697934
"01490",-99.1994700478353,19.3701604870394
"01500",-99.2619674847443,19.3479703713543
"01505",-99.2573061606236,19.3536765112345
"01506",-99.2564132855986,19.3548868362791
"01507",-99.2590833234598,19.3548498307851
"01508",-99.2528674394276,19.3570638780944
"01509",-99.2605837374347,19.355863301345
"01510",-99.2383954463622,19.3641172560544
"01520",-99.2421123960632,19.3644237051552
"01530",-99.247501716922,19.3623905786401
"01537",-99.2442200129729,19.3659941089075
"01538",-99.2517921257502,19.3626027973899
"01539",-99.2437617441592,19.3596632411937
"01540",-99.2409362243664,19.358811712116
"01548",-99.243002137183,19.3566586295178
"01549",-99.2458145831857,19.357281194743
"01550",-99.2346946714144,19.3600390875854
"01560",-99.2308088459844,19.3626565010385
"01566",-99.2250531813888,19.3625009876474
"01580",-99.2453318543265,19.351847893102
"01586",-99.2506137128902,19.3492105912941
"01587",-99.2488922483081,19.3496764457624
"01590",-99.2460440593456,19.352996913852
"01600",-99.2028328194692,19.3644253428209
