"MUN","XCOORD","YCOORD"
"01001",-102.295802932226,21.8114362620887
"01002",-102.045638085692,22.1265081666284
"01003",-102.704903950824,21.9006945248236
"01004",-102.297041558135,22.360626801664
"01005",-102.445649214083,21.9321175283663
"01006",-102.301677302714,22.1045423278031
"01007",-102.340728833036,22.2674078271445
"01008",-102.525838767844,22.1466345890986
"01009",-102.19213052399,22.2369739147099
"01010",-102.035398465321,21.9215193932358
"01011",-102.229021299815,22.0330705447088
"02001",-114.940528199555,30.0537144636913
"02002",-115.287556425229,31.9023098936991
"02003",-116.268975157,32.4408886499926
"02004",-116.819392426664,32.4040594602997
"02005",-116.890739838017,32.2529419908025
"03001",-111.820881562521,25.4915004857574
"03002",-113.231735430949,27.2859923452061
"03003",-110.67296276335,24.1786255298871
"03008",-109.753277516202,23.2766132613183
"03009",-111.466214551263,25.9565079561142
"04001",-90.217144274874,20.3834271195402
"04002",-90.2675658285277,19.6169873418799
"04003",-91.4832283866084,18.524041987717
"04004",-90.4993177186958,19.1342127536443
"04005",-90.1352755623425,20.1244076976692
"04006",-89.6096439661451,19.47407185965
"04007",-91.9738727483738,18.2735998967321
"04008",-90.2330174339954,19.9696387130088
"04009",-90.4743501135188,18.5505982606331
"04010",-89.6615735986466,18.4028291635028
"04011",-90.7165644293844,18.0990384560635
"05001",-101.245782368232,27.122394661366
"05002",-102.010026625852,29.4326023559541
"05003",-100.916002922558,28.278348170794
"05004",-100.642369726885,25.341357760012
"05005",-100.799250440671,26.8524526744092
"05006",-101.386925293946,26.5862386951944
"05007",-102.298982683887,26.6991038660916
"05008",-101.279589530385,27.3060653329127
"05009",-103.180857334835,26.3201457181469
"05010",-101.528273361451,26.9476979285565
"05011",-101.551039849512,25.5216910613011
"05012",-100.393792538408,28.0974067121148
"05013",-100.050503012369,27.8393212777241
"05014",-100.951264140921,29.002702315548
"05015",-100.69337839133,27.6565462851147
"05016",-101.913719365861,27.1505471698981
"05017",-103.215063739021,25.5598248022901
"05018",-101.194394368192,26.8968568959182
"05019",-101.083350989552,28.3277474087955
"05020",-101.900466423075,28.403017997572
"05021",-101.765425682044,27.2277315386267
"05022",-100.620488868087,28.4964382125936
"05023",-102.892888917136,27.9656187580425
"05024",-102.114667764418,25.5038716399491
"05025",-100.614469221009,28.7798194380128
"05026",-101.021481976139,27.4214224149791
"05027",-101.282065243188,25.91374762147
"05028",-101.143000616801,27.9228717078715
"05029",-101.756494064865,26.9398325705387
"05030",-101.125108619253,25.0291476216433
"05031",-101.968879105841,27.8401292832093
"05032",-101.389758761899,28.063956032926
"05033",-102.7179973014,26.084042272138
"05034",-103.610108603485,27.4817677758283
"05035",-103.208309730974,25.0512821141567
"05036",-102.924968199437,25.2218689524844
"05037",-100.780308124412,28.0973927317403
"05038",-101.395011472551,28.8119741778675
"06001",-103.998420412862,19.0092461343854
"06002",-103.632669182209,19.1160989032194
"06003",-103.76999404124,19.3934430289295
"06004",-103.920752531205,19.1881292129976
"06005",-103.595498631367,19.3268437699563
"06006",-103.68134527418,18.9676147811134
"06007",-104.272815920646,19.1488274024788
"06008",-104.031057058223,19.3720865418212
"06009",-103.811449279213,18.8886030891067
"06010",-103.844433220056,19.3096036380251
"07001",-92.6816853424579,15.4141398566677
"07002",-92.8409024752332,16.5377529613055
"07003",-92.77402483397,15.2314143430582
"07004",-91.8625730712768,16.661884484095
"07005",-92.8573383302473,17.3855938975975
"07006",-92.0971632313817,15.5568352057301
"07007",-92.3954272285412,16.5152896180468
"07008",-92.6804479941749,15.7581483387126
"07009",-93.9373605768647,16.248883971941
"07010",-92.1612927007374,15.4917552809504
"07011",-92.2424168824858,15.619584614738
"07012",-93.3190748368422,16.8666066725627
"07013",-92.958790268163,17.0141227710756
"07014",-92.7412924752523,17.0317481475435
"07015",-92.164134453403,15.0862411417713
"07016",-91.9976037471518,17.7798713174783
"07017",-93.8674714589643,16.7129624942862
"07018",-93.1260784322573,17.1205749596787
"07019",-92.1789740911849,16.2968836791409
"07020",-92.77124302954,15.9608949285387
"07021",-93.252860469491,17.0941743828349
"07022",-92.611801765697,17.0212705638591
"07023",-92.6801691931132,16.819365880317
"07024",-92.2169704455547,16.6115332173045
"07025",-93.1315376253219,17.3267974205159
"07026",-92.5704352411045,16.9501571902622
"07027",-92.9706317499861,16.5980713208725
"07028",-92.7259440860181,16.5539728691501
"07029",-93.1115199851462,16.9953330200466
"07030",-92.3912897804425,15.7990322889909
"07031",-92.0351417781351,17.1096912399462
"07032",-92.5581683774881,15.3644324330171
"07033",-93.2761867908636,17.2940736217762
"07034",-92.0877668250738,15.7626514311736
"07035",-92.2131990418169,14.7500092157602
"07036",-92.2184012044615,15.5129966316526
"07037",-92.4237733446296,15.0094039959907
"07038",-92.3996338418484,16.6942774072817
"07039",-92.6949270210976,17.243167275467
"07040",-92.5468542867308,15.0969858990183
"07041",-91.7957947526794,16.204702202692
"07042",-92.9786293471257,17.2985324684593
"07043",-93.0990228174538,17.4213977813824
"07044",-92.8969951294205,16.8179506700548
"07045",-92.9755913974365,17.4668726935647
"07046",-93.6720761774211,16.5227356527483
"07047",-92.8744159784391,17.0896184126968
"07048",-93.1933353490339,17.6994472246468
"07049",-92.7766774163479,16.9243837331937
"07050",-91.7510745609819,17.6066361634586
"07051",-92.8916347736015,15.4610121308859
"07052",-91.7402829746626,16.3856025991689
"07053",-92.185763849932,15.3727663224707
"07054",-92.4975527861702,14.8806048703147
"07055",-92.2015995899038,14.8216635507425
"07056",-92.5631008795995,16.8748100961014
"07057",-92.3314641384716,15.3138258449286
"07058",-92.610050165274,16.4382006690388
"07059",-91.3374987364818,16.7020938650934
"07060",-93.173876367282,17.2207975036841
"07061",-93.4922548190917,16.8279024532504
"07062",-93.399661183055,17.4323629336344
"07063",-93.0838036419907,16.8952332638892
"07064",-92.2747866059065,16.7809979841633
"07065",-91.8126555645346,17.4440756502219
"07066",-92.4640654282536,17.06010343157
"07067",-93.056899989421,17.1891858480273
"07068",-93.1991408409133,17.5305764939007
"07069",-93.1924013128816,15.6695561594925
"07070",-92.2639255621142,15.4325463695614
"07071",-92.6195663551979,15.1654225686553
"07072",-92.8812100521498,17.2178285128686
"07073",-92.9965755256159,17.1922205774442
"07074",-93.22938061544,17.8642233248734
"07075",-92.3647268548093,16.3653075999523
"07076",-92.6107621924159,17.3198256334016
"07077",-92.1871414436611,17.4376189942105
"07078",-92.600403206996,16.6832406321121
"07079",-93.2096782897944,16.9131332238096
