MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2004;3.091;82.763;25.755;19.502;9.411;5.985;37.806;34.614;215.056;852;12.249;96.987;633;93.390;10.311;8.898;2.123;58.923;17.437;21.337;27.357;5.978;393.678;5.150;26.315;54.017;5.492;3.635;3.081;14.500;31.161;3.175
2;2004;3.647;90.496;27.691;19.306;8.347;6.783;47.515;42.617;209.203;573;17.173;125.082;559;95.594;12.511;11.674;1.055;60.274;18.791;24.693;28.269;6.256;444.961;4.587;41.969;46.997;7.489;3.635;3.087;12.038;33.132;2.900
3;2004;4.412;102.659;34.465;21.357;8.741;8.097;49.020;57.971;212.626;372;17.019;118.793;1.224;90.192;13.539;8.496;10.970;80.806;21.705;25.633;32.596;8.072;485.433;6.155;31.680;77.339;4.208;3.635;3.682;16.679;36.436;5.380
4;2004;4.693;125.891;32.291;16.725;13.812;5.515;46.536;34.904;206.380;290;11.212;62.476;616;65.525;8.169;6.642;2.200;55.596;16.320;16.810;30.767;6.881;440.949;5.173;10.789;95.730;3.614;3.635;3.446;12.767;25.925;7.088
5;2004;1.785;119.684;25.865;14.102;15.513;2.554;32.670;39.349;226.543;751;8.528;41.056;1.072;57.347;9.182;9.410;1.373;44.782;22.453;11.948;30.381;6.872;413.545;3.452;9.979;62.120;3.536;3.635;3.865;10.289;26.795;3.228
6;2004;1.910;115.293;22.468;12.296;15.456;3.193;25.865;41.179;221.929;351;9.911;36.316;1.294;58.102;7.063;9.370;1.544;35.644;21.717;11.341;30.325;7.774;455.747;5.201;14.153;48.552;4.733;3.635;3.243;15.733;23.872;4.829
7;2004;2.175;151.399;49.949;20.354;17.241;3.395;46.711;47.907;238.847;1.069;13.598;42.156;2.083;73.244;4.290;10.966;1.922;39.577;22.799;20.911;34.899;11.338;500.029;11.909;10.437;60.133;6.147;3.635;3.788;20.904;28.540;10.860
8;2004;2.029;138.364;42.988;34.368;15.295;2.660;60.952;46.379;242.490;1.439;11.367;36.783;1.178;64.575;5.478;9.878;2.533;30.933;22.042;22.040;32.985;10.140;461.904;5.267;8.606;59.111;5.761;3.635;3.034;15.764;34.587;8.952
9;2004;1.724;111.768;21.754;14.397;12.976;1.507;33.211;47.343;212.808;1.260;9.842;21.176;1.322;44.220;5.411;5.439;6.900;37.669;19.814;12.220;29.361;8.260;304.018;3.526;5.009;47.875;5.211;3.635;3.123;12.002;21.701;3.248
10;2004;2.028;95.254;57.974;20.961;12.701;2.294;44.630;37.229;291.190;2.808;10.868;23.304;712;55.242;9.699;10.192;9.161;47.696;25.465;22.608;34.662;7.799;345.656;5.793;10.801;63.499;3.726;3.635;8.386;13.735;29.313;4.281
11;2004;1.824;97.836;55.503;27.189;12.319;8.970;52.478;32.849;280.219;2.301;10.287;31.186;767;67.274;7.100;11.307;9.785;62.925;28.214;26.255;32.652;7.634;391.475;4.569;18.996;38.884;6.820;3.635;7.893;9.686;33.907;2.158
12;2004;1.744;92.487;56.919;16.604;9.897;14.580;42.286;37.517;194.720;1.373;11.807;33.549;483;76.770;5.505;14.076;17.320;52.654;20.590;22.528;29.394;5.222;426.904;5.498;36.233;51.951;5.717;3.635;5.034;8.851;27.491;4.710
